"id","isactive","featured","carousel","title","subtitle","carousel_text","carousel_subtext","details","pub_date","url_home","url","wowio","wevolt","drunkduck","syndicate","tags","slug","thumbnail","duration","director","producer"
"43","1","0","1","#MAKECOMICS - Filip Sablik - The Process","#MAKECOMICS - Filip Sablik - The Process","","","<p>New series #makecomics with Filip Sablik, Publisher at Top Cow Comics. He talks the ""Process"" of making a comic at Top Cow.<br /> <br /> We tell you how to #makecomics</p>","04/20/2011 09:52:35","<p><iframe src=""http://blip.tv/play/hrc7grWPdgA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7grWPdgA""></embed></p>","<p><iframe src=""http://blip.tv/play/hrc7grWPdgA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7grWPdgA""></embed></p>","0","0","0","0","comic, book, publishing, filip, sablick, makecomics, top, cow, comics, pop, galaxy, how, to, make, comics, witchblade, the darkness, artifacts, 7 days from hell, pilot season, crosshair, aphrodite 9","makecomics-filip-sablik-process","thumbs/make_fs2.png","2:30","","Pop Galaxy"
"2","1","0","0","Creator Profile: Jimmy Palmiotti","Tick-tick-tick-BOOM!","Jimmy Palmiotti","Interview","<p>Writer/ Artist and all-around good-fella, Jimmy Palmiotti gives Pop Galaxy&rsquo;s Matt West exclusive insight into his edgy, time-traveling action series for Radical Comics, &ldquo;Time Bomb!&rdquo;</p>","11/01/2010 10:00:00","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqTaAA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqTaAA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","1","0","0","1","wowio, radical comics, jimmy palmiotti, time bomb, jonah hex, power girl, joe quesada, pop galaxy, comics, writer, justin gray","creator-profile-jimmy-palmiotti","thumbs/Palmiotti_Final_2.jpg","3:06","",""
"3","1","0","0","Creator Profile: Ron Marz","Behind the scenes of ""Artifacts!""","Ron Marz","","<p>The man, the myth, the Marz&hellip; as in superstar writer, Ron Marz. Pop Galaxy checks in with Top Cow&rsquo;s top gun to learn the secrets of their universe-spanning event &ldquo;Artifacts!&rdquo;</p>","10/29/2010 10:00:00","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqTJwA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqTJwA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","1","0","0","1","wowio, comics, top cow, ron marz, artifacts, witchblade, darkness, angelus","creator-profile-ron-marz","thumbs/TopCow_RON_MARZ_FINAL_2.jpg","1:56","",""
"4","1","0","0","Creator Profile: Bryan Hill & Rob Levin","The secrets of ""Pandora's Box!""","Broken Trinity","Interview","<p class=""MsoNormal"">As the mystery of Top Cow&rsquo;s &ldquo;Artifacts&rdquo; continues to unravel, Pop Galaxy delves into the story that set the stage for the mega-crossover 5 years in the making.&nbsp; Co-writers Bryan Hill and Rob Levin give Pop Galaxy the word on the graphic novel collection of their landmark series, &ldquo;Broken Trinity: Pandora&rsquo;s Box!&rdquo;</p>
<p>&nbsp;</p>","11/01/2010 00:00:00","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqaAgA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqaAgA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","1","0","0","1","wowio, comics, top cow, broken trinity, witchblade, angelus, darkness, ","creator-profile-bryan-hill-rob-levin","thumbs/TopCow_Brian_and_Rob_FINAL_2.jpg","2:04","",""
"5","1","0","0","Artist Profile: MC Front A Lot","Hot Nerdcore Action!","MC Front-A-Lot","Nerdcore","<p>The undisputed, heavyweight champ of nerdcore hip-hop, MC Front A Lot  raps with Pop Galaxy's Matt Kirsch about making music for a dedicated,  plugged-in fanboy fanbase.</p>","10/04/2010 00:00:00","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqTCgA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqTCgA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","0","0","0","1","wowio, comics, mc front-a-lot, hip-hop, matty kirsch, rap, music, nerdcore, comedy","artist-profile-MC-Front-A-Lot","thumbs/MC_Front_A_Lot.jpg","1:37","",""
"6","1","0","0","Creator Profile: Ralph Tedesco","Girls Girls Girls","Ralph Tedesco","Interview","<p>The man behind some of the hottest women in comics, Ralph Tedesco, gives  Pop Galaxy's Matt Kirsch more than a good look at the girls-girls-girls  of Zenescope Entertainment's Grimm Fairy Tales.</p>","10/04/2010 00:00:00","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqaMwA%2Em4v"" allowfullscreen=""true"" allowscriptaccess=""always""></embed></p>
<p><img class=""BLUEKAI"" src=""http://tags.bluekai.com/site/2132"" alt="""" /></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqaMwA%2Em4v"" allowfullscreen=""true"" allowscriptaccess=""always""></embed></p>
<p><img class=""BLUEKAI"" src=""http://tags.bluekai.com/site/2132"" alt="""" /></p>","1","0","0","1","wowio, comics, ralph tedesco, zenescope entertainment, grimm fairy tales, hot girls, hot chicks, sexy","creator-profile-ralph-tedesco","thumbs/Zenescope_FINAL.jpg","2:12","",""
"7","1","0","0","Creator Profile: Eric Powell","The Goon!","Eric Powell","The Goon","<p>An indie comics legend, Eric Powell, connects with Pop Galaxy's Matty  Kirsch about the monster success of his creator owned ""Goon"" series --  and shows us what's new from his twisted imagination.</p>","10/04/2010 00:00:00","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqUBgA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqUBgA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","1","0","0","1","wowio, comics, the goon, billy the kid, dark horse, matty kirsch, pop galaxy","creator-profile-eric-powell","thumbs/TheGoon_FINAL.jpg","1:35","",""
"8","1","0","0","Pop Galaxy Exclusive: Cowboys and Aliens Trailer","Crucial Comics","Graphic Novel","WOWIO","<p>Check out this exclusive Cowboy and Aliens graphic novel trailer from Platinum Studios. Available for download now on WOWIO.com!</p>","11/23/2010 13:55:11","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqUPQA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>
<p><img class=""BLUEKAI"" src=""http://tags.bluekai.com/site/2132"" alt="""" /></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqUPQA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","0","0","0","1","cowboys and aliens, movie, blockbuster, platinum studios, comics, wowio, pop galaxy","pop-galaxy-exclusive-cowboys-and-aliens-trailer","thumbs/cowboysandalienslogowide.jpg","1:14","",""
"9","1","0","0","Hero By Night","A Pop Galaxy Exclusive","Hero By Night","","<p>Check out the exclusive trailer to Platinum Studios ""Hero By Night!"" Available for download on WOWIO.com!</p>","11/23/2010 14:05:58","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqUeAA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gpqUeAA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","0","0","0","0","pop galaxy, wowio, comics, platinum studios, hero by night, adventure, super heroes","hero-night","thumbs/hero-by-night-01-dj-coffman-300x225.jpg","1:41","",""
"10","1","0","0","Gun Play Trailer","A Pop Galaxy Exclusive","Crucial Comics","","<p>An exclusive motion-comics trailer for Platinum Studios' ""Gun Play."" Available for download now on WOWIO.com!</p>","11/23/2010 14:09:01","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gov1YAA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""580"" height=""392"" src=""http://blip.tv/play/hrc7gov1YAA%2Em4v"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","0","0","0","1","pop galaxy, wowio, comics, platinum studios, gun play, cowboys and aliens, adventure, super heroes","gun-play-trailer","thumbs/Gunplay.jpg","2:16","",""
